original_address,used_variant,lat,lon,result
"0 Spinelli Pl, Cambridge, MA","0 Spinelli Pl, Cambridge, MA",42.39153832622706,-71.1536992025862,Nominatim match
"Chester St & Massachusetts Ave, Cambridge, MA","Chester St & Massachusetts Ave, Cambridge, MA",42.3930485,-71.1252674,PostGIS: Intersection chester st & massachusetts ave
"100 Blanchard Rd, Cambridge, MA","100 Blanchard Rd, Cambridge, MA",42.386924704508985,-71.15811975687046,Nominatim match
"500 Roosevelt Towers, Cambridge, MA","500 Roosevelt Towers, Cambridge, MA",42.373532299999994,-71.09229948420312,Nominatim match
"Thorndike Way & Canal Pk, Cambridge, MA","thorndike & canal, ma",42.3692682,-71.0772508,PostGIS: False intersection thorndike & canal
"Kimball Ln & Hollis St, Cambridge, MA","Kimball Lane & Hollis Street, Cambridge, MA",42.393732,-71.128612,PostGIS: Intersection kimball lane & hollis street
"St Paul St & Prospect St, Cambridge, MA","Saint Paul Street & Prospect Street, Cambridge, MA",42.3673706,-71.1024078,PostGIS: Intersection saint paul street & prospect street
"Seagrave Rd & Whittemore Ave, Cambridge, MA","Seagrave Road & Whittemore Avenue, Cambridge, MA",42.3988377,-71.1404307,PostGIS: Intersection seagrave road & whittemore avenue
"0 Pond Pl, Cambridge, MA","0 Pond Pl, Cambridge, MA",42.36346193090636,-71.11359085268361,Nominatim match
"0 Michael Way, Cambridge, MA","0 Michael Way, Cambridge, MA",42.36961881488826,-71.08926826454054,Nominatim match
"0 Gilmore St, Cambridge, MA","0 Gilmore St, Cambridge, MA",42.36449150189906,-71.1115126379021,Nominatim match
"Clay St & Harvey St, Cambridge, MA","Clay St & Harvey St, Cambridge, MA",42.3974223,-71.1342938,PostGIS: Intersection clay st & harvey st
"Gilmore St & Hoyt Field, Cambridge, MA","Gilmore St & Hoyt Field, Cambridge, MA",42.3643006,-71.1114827,PostGIS: Intersection gilmore st & hoyt field
"100 Tufts St, Cambridge, MA","100 Tufts St, Cambridge, MA",42.35746504993461,-71.11166581389058,Nominatim match
"200 Holden Green, Cambridge, MA","200 Holden Green, Cambridge, MA",42.378724938153944,-71.10780592504706,Nominatim match
"Belmont St & Ericsson St, Cambridge, MA","Belmont St & Ericsson St, Cambridge, MA",42.3751932,-71.1547997,PostGIS: Intersection belmont st & ericsson st
"Lincoln St & Willow St, Cambridge, MA","Lincoln St & Willow St, Cambridge, MA",42.3706325,-71.0929137,PostGIS: Intersection lincoln st & willow st
